"cikkszam","megnevezes","szin","osztaly","meret","indulo_keszlet"
15473,"Pulóver","s.kék (antracit)","1","S",2
15485,"Top","fehér/türkiz","1","S",1
15487,"Ruha","fehér/türkiz","1","S",3
15502,"Pulóver","pink","1","S",2
15502,"Pulóver","zöld","1","S",3
15506,"Ruha","sárga","1","S",1
15506,"Ruha","fehér","1","S",2
15507,"Top","fehér","1","S",2
15508,"Szoknya","sárga","1","S",1
15508,"Szoknya","fehér","1","S",4
15515,"Ruha","mustár","1","S",4
15550,"Pulóver","barna/narancs","1","S",1
15550,"Pulóver","szürke/kék","1","S",1
15550,"Pulóver","barna/zöld","1","S",1
15551,"Pulóver","szürke/kék","1","S",1
15551,"Pulóver","barna/zöld","1","S",1
15551,"Pulóver","barna/narancs","1","S",1
15563,"Pulóver","s.barna","1","S",2
15563,"Pulóver","k.szürke","1","S",1
15563,"N.Pulóver","bordó","1","S",5
15563,"N.Pulóver","v.barna","1","S",4
15563,"N.Pulóver","v.szürke","1","S",10
15563,"N.Pulóver","s.kék","1","S",3
15563,"N.Pulóver","v.kék","1","S",8
15563,"N.Pulóver","k.kék","1","S",8
15563,"N.Pulóver","antra","1","S",5
15564,"Pulóver","s.kék","1","S",5
15564,"Pulóver","v.szürke","1","S",2
15566,"Pulóver","szürke","1","S",3
15568,"Garbó","v.kék (farmer)","1","S",7
15568,"Garbó","k.kék (antra)","1","S",11
15568,"Garbó","fekete","1","S",8
15568,"Garbó","s.kék","1","S",8
15568,"Garbó","barna","1","S",7
15568,"Garbó","s.szürke","1","S",2
15569,"Garbó","piros","1","S",1
15569,"Garbó","sárga","1","S",2
15569,"Garbó","piros","1","S",1
15569,"Garbó","k.kék","1","S",5
15569,"Garbó","s.kék","1","S",3
15569,"Garbó","fekete","1","S",5
15569,"Garbó","f.kék","1","S",4
15569,"Garbó","narancs","1","S",1
15569,"Garbó","s.lila","1","S",1
15569,"Garbó","v.lila","1","S",1
15596,"Mellény","barna","1","S",1
15596,"Mellény","fekete","1","S",1
15596,"Mellény","bordó","1","S",1
15596,"Mellény","f.kék","1","S",1
15596,"Mellény","s.kék","1","S",1
15596,"Mellény","s.kék","1","S",1
15596,"Mellény","bordó","1","S",10
15596,"Mellény","s.kék","1","S",17
15596,"Mellény","barna","1","S",9
15596,"Mellény","v.kék","1","S",13
15597,"Pulóver","s.kék","1","S",1
15597,"Pulóver","szürke","1","S",4
15599,"Pulóver","s.kék","1","S",8
15633,"Ruha","szürke/piros","1","S",2
15633,"Ruha","szürke/bordó","1","S",5
15633,"Ruha","kék/piros","1","S",13
15634,"Tunika","sárga","1","S",1
15634,"Tunika","piros","1","S",1
15634,"Tunika","s.kék (f)","1","S",9
15634,"Tunika","fekete","1","S",7
15634,"Tunika","f.kék","1","S",7
15636,"Szoknya","sárga","1","S",7
15636,"Szoknya","s.zöld","1","S",4
15636,"Szoknya","s.kék","1","S",7
15636,"Szoknya","fekete","1","S",7
15636,"Szoknya","bordó","1","S",8
15636,"Szoknya","piros","1","S",10
15636,"Szoknya","v.kék","1","S",9
