"indulo_keszlet","cikkszam","megnevezes","szin","osztaly","meret"
3,15207,"Kardigán","barna",1,"2XL"
2,15207,"Kardigán","barna",1,"3XL"
1,15207,"Kardigán","barna",1,"L"
6,15207,"Kardigán","barna",1,"M"
1,15207,"Kardigán","barna",1,"S"
2,15207,"Kardigán","szürke",1,"2XL"
2,15207,"Kardigán","szürke",1,"L"
7,15207,"Kardigán","szürke",1,"M"
1,15207,"Kardigán","szürke",1,"S"
2,15207,"Kardigán","szürke",1,"XL"
1,15220,"Kardigán","szürke",1,"L"
1,15220,"Kardigán","szürke",1,"XL"
2,15220,"Kardigán","szürke",1,"XS"
1,15220,"Kardigán","szürke",2,"XL"
1,15232,"Top","fehér",1,"L"
2,15232,"Top","fehér",1,"M"
1,15232,"Top","fehér",1,"S"
3,15232,"Top","fehér",1,"XL"
3,15232,"Top","lazac",1,"XL"
2,15232,"Top","sárga",1,"L"
1,15232,"Top","sárga",1,"M"
1,15232,"Top","sárga",1,"XL"
1,15232,"Top","sárga",2,"S"
6,15234,"Tunika","fehér",1,"L"
6,15234,"Tunika","fehér",1,"M"
5,15234,"Tunika","fehér",1,"S"
4,15234,"Tunika","fehér",1,"XL"
2,15234,"Tunika","fehér",2,"XL"
1,15234,"Tunika","lazac",1,"L"
1,15234,"Tunika","lazac",1,"M"
1,15234,"Tunika","lazac",2,"M"
2,15234,"Tunika","lazac",2,"XL"
5,15234,"Tunika","sárga",1,"L"
3,15234,"Tunika","sárga",1,"M"
5,15234,"Tunika","sárga",1,"S"
4,15234,"Tunika","sárga",1,"XL"
5,15237,"Pulóver","antracit",1,"2XL"
16,15237,"Pulóver","antracit",1,"3XL"
4,15237,"Pulóver","antracit",1,"L"
8,15237,"Pulóver","antracit",1,"M"
12,15237,"Pulóver","antracit",1,"S"
12,15237,"Pulóver","antracit",1,"XL"
7,15237,"Pulóver","barna",1,"2XL"
8,15237,"Pulóver","barna",1,"3XL"
3,15237,"Pulóver","barna",1,"L"
8,15237,"Pulóver","barna",1,"M"
4,15237,"Pulóver","barna",1,"S"
6,15237,"Pulóver","barna",1,"XL"
1,15237,"Pulóver","beige",1,"2XL"
2,15237,"Pulóver","ecrü",1,"2XL"
2,15237,"Pulóver","ecrü",1,"3XL"
4,15237,"Pulóver","ecrü",2,"2XL"
4,15237,"Pulóver","ecrü",2,"3XL"
5,15237,"Pulóver","ecrü",2,"XL"
6,15237,"Pulóver","fehér",1,"L"
4,15237,"Pulóver","fehér",1,"S"
4,15237,"Pulóver","fekete",1,"XL"
5,15237,"Pulóver","fekete",2,"L"
8,15237,"Pulóver","fekete",2,"M"
1,15237,"Pulóver","piros",2,"2XL"
2,15237,"Pulóver","piros",2,"L"
2,15237,"Pulóver","piros",2,"M"
1,15237,"Pulóver","piros",2,"S"
3,15237,"Pulóver","piros",2,"XL"
